scenario_index	target_index	replicate_index	target_population	years	world	sim_seed	starting_couples	region_count	base_capacity	passive_population_scale	detailed_active_soft_cap	birth_settlement_spinoff_disabled	elapsed_s	detailed_alive	passive_person_alive	aggregate_cohort_alive	aggregate_cohort_births	aggregate_cohort_deaths	aggregate_cohort_partnered	mixed_mode_alive	cohort_rows	promotion_count	report_detailed_people	report_detailed_alive_people	report_non_detailed_alive_people	high_variance_detail_people	genome_scored_detailed_people	extreme_detail_people	average_detail_variance_score	serial_predator_profile_people	serial_predator_profile_share	average_serial_predator_propensity	max_serial_predator_propensity	event_year_span	detailed_person_years	murder_events	serial_predator_candidate_events	distinct_murder_killers	repeat_murder_killers_2plus	serial_murder_killers_3plus	serial_murder_events_by_3plus_killers	murder_per_10k_detailed_person_years	murder_target_per_10k_per_year	murder_rate_target_ratio	murder_rate_calibration_status	serial_candidate_share_of_murders	serial_murder_event_share_3plus	serial_murder_target_share_max	serial_murder_calibration_status	serial_murder_emergence_min_murder_sample	serial_murder_emergence_status
0	0	0	50000	50	default	15000	20	26	23390	2.13766567	2500	no	154.919197	460	0	48031	827	945	33358	48491	5252	0	1254	460	0	764	1254	112	0.719428	1	0.000797	0.099675	0.754761	50	18947	7	0	7	0	0	0	3.694516	4.000000	0.923629	insufficient_murder_sample	0.000000	0.000000	0.010000	insufficient_murder_sample	500	insufficient_emergence_sample
1	0	1	50000	50	default	15001	20	26	23390	2.13766567	2500	no	140.929732	442	0	48008	825	945	33340	48450	5237	0	1099	442	0	804	1099	55	0.708234	7	0.006369	0.098375	0.769639	50	16051	9	1	9	0	0	0	5.607127	4.000000	1.401782	insufficient_murder_sample	0.111111	0.000000	0.010000	insufficient_murder_sample	500	insufficient_emergence_sample
